Node1,Node2,Lat1,Lon1,Lat2,Lon2,Distance,Risk
2376384618,2376384619,40.7517463,-74.008555,40.7537853,-74.0077731,5.157553587,0.659798917
2376384618,247072735,40.7517463,-74.008555,40.7516737,-74.0082189,1.225008769,0.273166406
2376384619,2376384618,40.7537853,-74.0077731,40.7517463,-74.008555,5.157553587,0.659798917
2376384619,246580055,40.7537853,-74.0077731,40.7537545,-74.0074294,1.228216749,0.932709726
42451053,42451049,40.736913,-73.9749786,40.736835,-73.9750215,0.471553856,0.807242147
42451053,42426875,40.736913,-73.9749786,40.737031,-73.974905,0.64085197,0.834933976
2376384623,2376384624,40.7606158,-74.0026095,40.760688,-74.0025741,0.44024498,0.102027597
2376384623,247072101,40.7606158,-74.0026095,40.760543,-74.0026552,0.460726826,0.1004055
2376384624,247084443,40.760688,-74.0025741,40.7607227,-74.0025572,0.271373643,0.103085596
2376384624,2376384623,40.760688,-74.0025741,40.7606158,-74.0026095,0.44024498,0.102027597
2376384625,2376384626,40.7615301,-74.0019397,40.7617715,-74.0017648,1.103410022,0.160904798
2376384625,247086019,40.7615301,-74.0019397,40.7614974,-74.0019848,0.344692667,0.14718729
2376384626,2376384625,40.7617715,-74.0017648,40.7615301,-74.0019397,1.103410022,0.160904798
2376384626,2376384627,40.7617715,-74.0017648,40.7618893,-74.0016679,0.683568029,0.171872486
2376384627,2376384626,40.7618893,-74.0016679,40.7617715,-74.0017648,0.683568029,0.171872486
2376384627,247119596,40.7618893,-74.0016679,40.7620237,-74.0015435,0.777506227,0.18336803
42451122,42451118,40.742438,-73.972639,40.7421,-73.972773,1.276428586,1.210467859
42451122,42451126,40.742438,-73.972639,40.7427818,-73.9724609,1.337166099,0.763121361
2376384630,373933306,40.762348,-74.0011805,40.7622458,-74.0013105,0.723446487,0.218319891
2376384630,2376384631,40.762348,-74.0011805,40.7626614,-74.0007361,1.724035025,0.243012574
2376384631,373936427,40.7626614,-74.0007361,40.7627048,-74.0006826,0.396935769,0.251061989
2376384631,2376384630,40.7626614,-74.0007361,40.762348,-74.0011805,1.724035025,0.243012574
2376384632,247119784,40.7629929,-74.0002864,40.7631585,-74.0000277,1.127787659,0.217351132
2376384632,247119759,40.7629929,-74.0002864,40.7628063,-74.0005615,1.194943463,0.236165114
2376384633,247072107,40.7633835,-73.9996912,40.7634486,-73.9996182,0.502779892,0.161140796
2376384633,2208862756,40.7633835,-73.9996912,40.7633214,-73.9997786,0.535398656,0.171021878
2376384634,247072107,40.7635225,-73.9995469,40.7634486,-73.9996182,0.5198086,0.151388747
2376384634,247072108,40.7635225,-73.9995469,40.763784,-73.999338,1.200956462,0.140241148
2376384635,247119974,40.7643569,-73.9989155,40.7644002,-73.998863,0.39385315,0.102183834
2376384635,247119855,40.7643569,-73.9989155,40.7642888,-73.9989711,0.467595242,0.100685282
2376384636,2376384637,40.7644705,-73.9987779,40.7645098,-73.9987432,0.331112826,0.10617008
2376384636,247119974,40.7644705,-73.9987779,40.7644002,-73.998863,0.546199732,0.104605722
2376384637,2376384636,40.7645098,-73.9987432,40.7644705,-73.9987779,0.331112826,0.10617008
2376384637,2208862741,40.7645098,-73.9987432,40.7653312,-73.9981446,2.790864931,0.125168597
373956629,373956636,40.7683763,-73.9959362,40.7683159,-73.9959767,0.411447982,0.289386995
373956629,2376384646,40.7683763,-73.9959362,40.7684016,-73.9959226,0.224536146,0.270084359
42442881,2562399784,40.735431,-73.982695,40.7344807,-73.9804409,5.663334834,1.371630593
42442881,42439178,40.735431,-73.982695,40.73602,-73.982267,2.153708311,1.005638979
42442881,42449893,40.735431,-73.982695,40.7363766,-73.9849354,5.635655837,4.368611666
42442881,42437287,40.735431,-73.982695,40.734846,-73.983122,2.14500856,0.297036674
373915670,42437699,40.7543505,-74.0067012,40.7544286,-74.0066497,0.487971921,0.432506277
373915670,373915205,40.7543505,-74.0067012,40.7541295,-74.0068471,1.01247103,0.618031849
2376384646,373956629,40.7684016,-73.9959226,40.7683763,-73.9959362,0.224536146,0.270084359
2376384646,2376384647,40.7684016,-73.9959226,40.7684478,-73.9959126,0.309636468,0.257571411
2376384647,2376384646,40.7684478,-73.9959126,40.7684016,-73.9959226,0.309636468,0.257571411
2376384647,373956622,40.7684478,-73.9959126,40.7684731,-73.9959023,0.217542796,0.244184287
42442889,2562399792,40.7378801,-73.9809087,40.73693,-73.9786506,5.67024499,0.893266904
42442889,1692450034,40.7378801,-73.9809087,40.7377605,-73.9809944,0.666552437,0.901162319
42442889,42448701,40.7378801,-73.9809087,40.7388264,-73.983148,5.634235949,1.035361656
42442889,42436590,40.7378801,-73.9809087,40.73855,-73.980418,2.383863665,1.559651436
42442891,2562399793,40.739168,-73.979967,40.7382212,-73.9777197,5.648731445,1.379471302
42442891,42449906,40.739168,-73.979967,40.740115,-73.982211,5.643055319,3.81778344
42442891,42429900,40.739168,-73.979967,40.739784,-73.979518,2.231187821,0.986511329
42442891,42436590,40.739168,-73.979967,40.73855,-73.980418,2.23749345,1.642520135
42442895,42442898,40.740393,-73.979077,40.741026,-73.978616,2.278051476,0.60771424
42442895,42422539,40.740393,-73.979077,40.740751,-73.979912,2.556424077,0.341811574
42442895,42429900,40.740393,-73.979077,40.739784,-73.979518,2.207761354,0.347756567
42442898,42422537,40.741026,-73.978616,40.741384,-73.979466,2.586664759,0.608456114
42442898,42436754,40.741026,-73.978616,40.7416288,-73.9781837,2.184842584,2.307528921
42442898,42442895,40.741026,-73.978616,40.740393,-73.979077,2.278051476,0.60771424
2376384659,247072113,40.7694154,-73.9952237,40.7693953,-73.9952353,0.196387377,0.104313417
2376384659,2376384660,40.7694154,-73.9952237,40.7694377,-73.9952234,0.191591558,0.103630008
2376384660,247072114,40.7694377,-73.9952234,40.7694567,-73.9952332,0.186734176,0.103033593
2376384660,2376384659,40.7694377,-73.9952234,40.7694154,-73.9952237,0.191591558,0.103630008
2376384661,247072114,40.7694964,-73.9952627,40.7694567,-73.9952332,0.318977908,0.102251727
2376384661,247072115,40.7694964,-73.9952627,40.7695537,-73.9953053,0.406506956,0.100972515
2376384662,247072115,40.7695661,-73.9953098,40.7695537,-73.9953053,0.138820461,0.099866305
2376384662,2376384663,40.7695661,-73.9953098,40.7695834,-73.9953133,0.166030602,0.099555136
2376384663,247072116,40.7695834,-73.9953133,40.7696043,-73.9953068,0.189440536,0.09928398
2376384663,2376384662,40.7695834,-73.9953133,40.7695661,-73.9953098,0.166030602,0.099555136
42451097,42445420,40.7407569,-73.9730397,40.7402994,-73.9731593,1.551919053,0.590137225
42451097,42451109,40.7407569,-73.9730397,40.7411033,-73.9729863,1.242369589,0.948672628
42442906,1293174692,40.7428838,-73.9772706,40.7428462,-73.9771688,0.539863861,1.863569381
42442906,42442910,40.7428838,-73.9772706,40.7435294,-73.9768078,2.30334423,1.516965799
42442906,42449926,40.7428838,-73.9772706,40.743825,-73.979508,5.627084032,1.513586974
42442906,42442902,40.7428838,-73.9772706,40.7422757,-73.9777264,2.225969302,3.891651992
1701920924,1701920936,40.7459351,-74.0080017,40.7459686,-74.0079647,0.32066348,0.418098766
1701920924,42453379,40.7459351,-74.0080017,40.7458827,-74.0080379,0.376717306,0.422001583
2629370014,2629370017,40.7485629,-73.9885565,40.7489714,-73.9882534,1.63934781,1.341441544
2629370014,2629370015,40.7485629,-73.9885565,40.7484146,-73.9882346,1.252605439,1.700808415
2629370015,2629370016,40.7484146,-73.9882346,40.7489246,-73.9881595,1.655904952,1.542951207
2629370015,2629370014,40.7484146,-73.9882346,40.7485629,-73.9885565,1.252605439,1.700808415
2629370016,2629370017,40.7489246,-73.9881595,40.7489714,-73.9882534,0.527501136,1.285828094
2629370016,2629370015,40.7489246,-73.9881595,40.7484146,-73.9882346,1.655904952,1.542951207
42442913,42449928,40.7441069,-73.9763707,40.745058,-73.978607,5.632534317,3.92809508
42442913,42442914,40.7441069,-73.9763707,40.744779,-73.975881,2.38650507,0.789466619
42442913,42442910,40.7441069,-73.9763707,40.7435294,-73.9768078,2.145022222,0.886385167
42442913,1293174686,40.7441069,-73.9763707,40.7439718,-73.9760666,1.195850833,0.783769073
42442914,42442913,40.744779,-73.975881,40.7441069,-73.9763707,2.38650507,0.789466619
42442914,42445387,40.744779,-73.975881,40.744505,-73.975224,2.116694611,0.627613843
42442914,42434965,40.744779,-73.975881,40.745442,-73.975394,2.366597948,0.406074594
42442914,42445382,40.744779,-73.975881,40.745404,-73.97736,4.015392014,2.078210286
2376384676,247072120,40.771207,-73.9949197,40.7710182,-73.9949483,0.800894559,0.108802459
2376384676,2376384677,40.771207,-73.9949197,40.7712871,-73.9949022,0.446134435,0.111313229
2376384677,2376384676,40.7712871,-73.9949022,40.771207,-73.9949197,0.446134435,0.111313229
2376384677,2376384678,40.7712871,-73.9949022,40.7713658,-73.9948796,0.445767243,0.113575583
2376384678,247072121,40.7713658,-73.9948796,40.7714116,-73.9948582,0.323603999,0.115673503
2376384678,2376384677,40.7713658,-73.9948796,40.7712871,-73.9949022,0.445767243,0.113575583
247072113,247122531,40.7693953,-73.9952353,40.7693235,-73.9952898,0.475499675,0.107002225
247072113,2376384659,40.7693953,-73.9952353,40.7694154,-73.9952237,0.196387377,0.104313417
1701920936,1701920979,40.7459686,-74.0079647,40.74599,-74.0079322,0.272732462,0.422932959
1701920936,1701920924,40.7459686,-74.0079647,40.7459351,-74.0080017,0.32066348,0.418098766
1701920939,1701920957,40.7487514,-74.0071395,40.748851,-74.0070872,0.553368114,0.812508852
1701920939,1701920999,40.7487514,-74.0071395,40.7486855,-74.0071703,0.411447982,0.837858416
247072114,2376384660,40.7694567,-73.9952332,40.7694377,-73.9952234,0.186734176,0.103033593
247072114,2376384661,40.7694567,-73.9952332,40.7694964,-73.9952627,0.318977908,0.102251727
42451118,42451122,40.7421,-73.972773,40.742438,-73.972639,1.276428586,1.210467859
42451118,42451115,40.7421,-73.972773,40.741789,-73.972877,1.183090246,1.581451242
1701920946,1701920978,40.7484197,-74.0073753,40.7484857,-74.007313,0.47800409,1.245590842
1701920946,246580735,40.7484197,-74.0073753,40.7483553,-74.0074425,0.486197709,1.329200936
42442931,42442918,40.747296,-73.974044,40.7466699,-73.9744848,2.238939542,3.848455246
42442931,42442933,40.747296,-73.974044,40.7479204,-73.973591,2.251814528,4.509014084
42442931,42454006,40.747296,-73.974044,40.746941,-73.973193,2.586146213,4.193339105
42442931,42453999,40.747296,-73.974044,40.747882,-73.975422,3.796123202,3.70706035
42442933,42445664,40.7479204,-73.973591,40.7485013,-73.9749705,3.79488934,2.677923169
42442933,42445666,40.7479204,-73.973591,40.7475605,-73.9727362,2.597953776,2.787444338
42442933,42442931,40.7479204,-73.973591,40.747296,-73.974044,2.251814528,4.509014084
